"YEAR","PRJ_CD","SAM","AREA","SITE","LAT","LON","GR","GRDEP","GRTEM","SIDEP","EFFDUR","EFFSTART","EFFEND","SITRAN","SITEM","GRDEPMIN","GRDEPMAX"
2019,"LOA_IA19_GL1",11,"EB","EB04",43.9925,-76.6088333333333,"GL6B",29.8,8.7,27,22.11,2019-06-17 12:15:00,2019-06-18 10:22:00,"8.5",13.7,26.9,36
2019,"LOA_IA19_GL1",12,"EB","EB04",43.9925,-76.6088333333333,"GL6B",29.8,8.7,27,22.11,2019-06-17 12:15:00,2019-06-18 10:22:00,"8.5",13.7,26.9,36
2019,"LOA_IA19_GL1",13,"EB","EB05",44.0033333333333,-76.6101666666667,"GL6B",30.6,9,29,22.18,2019-06-17 12:54:00,2019-06-18 11:05:00,"9.0",14.8,30.4,30.7
2019,"LOA_IA19_GL1",14,"EB","EB05",44.0033333333333,-76.6101666666667,"GL6B",30.6,9,29,22.18,2019-06-17 12:54:00,2019-06-18 11:05:00,"9.0",14.8,30.4,30.7
2019,"LOA_IA19_GL1",15,"EB","EB05",44.0033333333333,-76.6101666666667,"GL6B",30.6,9,29,22.18,2019-06-17 12:54:00,2019-06-18 11:05:00,"9.0",14.8,30.4,30.7
2019,"LOA_IA19_GL1",16,"EB","EB06",44.0363333333333,-76.7016666666667,"GL6B",31,7.4,30,24.2,2019-06-17 11:51:00,2019-06-18 12:03:00,"10.5",12.2,30,32
2019,"LOA_IA19_GL1",17,"EB","EB06",44.0363333333333,-76.7016666666667,"GL6B",31,7.4,30,24.2,2019-06-17 11:51:00,2019-06-18 12:03:00,"10.5",12.2,30,32
2019,"LOA_IA19_GL1",18,"EB","EB06",44.0363333333333,-76.7016666666667,"GL6B",31,7.4,30,24.2,2019-06-17 11:51:00,2019-06-18 12:03:00,"10.5",12.2,30,32
2019,"LOA_IA19_GL1",19,"BE","BE05",44.1523333333333,-77.3385,"GL6B",6,18,5,24.93,2019-06-17 11:10:00,2019-06-18 12:06:00,"2.0",19.4,6.3,6.6
2019,"LOA_IA19_GL1",20,"UB","U047",44.1298333333333,-77.4038333333333,"GL6B",4,18.4,6,23.66,2019-06-17 12:00:00,2019-06-18 11:40:00,"2.75",19.7,3.2,5
2019,"LOA_IA19_GL1",21,"UB","U016",44.0788333333333,-77.5391666666667,"GL6B",3.1,19,3,20.98,2019-06-17 13:42:00,2019-06-18 10:41:00,"2.25",19.9,2.8,3.5
2019,"LOA_IA19_GL1",22,"TR","TR05",44.106,-77.5101666666667,"GL6B",5.7,18,5.5,21.05,2019-06-17 14:07:00,2019-06-18 11:10:00,"2.25",19.2,5.6,5.8
2019,"LOA_IA19_GL1",23,"HB","HB08",44.1091666666667,-77.027,"GL6B",7.6,18.1,7.6,23.03,2019-06-24 11:17:00,2019-06-25 10:19:00,"3.0",20,7.5,7.7
2019,"LOA_IA19_GL1",24,"HB","HB13",44.0943333333333,-77.0706666666667,"GL6B",13,10.3,13,23.03,2019-06-24 10:56:00,2019-06-25 09:58:00,"3.5",19.9,12.5,13.5
2019,"LOA_IA19_GL1",25,"MB","M081",44.05,-77.0626666666667,"GL6B",24,8.3,20,22.91,2019-06-24 10:22:00,2019-06-25 09:17:00,"4.0",19.2,20,24
2019,"LOA_IA19_GL1",26,"MB","M072",44.0586666666667,-77.0758333333333,"GL6B",14.3,8.7,20,22.91,2019-06-24 10:39:00,2019-06-25 09:34:00,"4.0",20.3,14.1,14.6
2019,"LOA_IA19_GL1",27,"BB","BB05",44.1533333333333,-77.23,"GL6B",7,20.3,5,21.95,2019-06-24 12:13:00,2019-06-25 10:10:00,"2.7",22.4,7,7
2019,"LOA_IA19_GL1",28,"UB","U099",44.1318333333333,-77.2766666666667,"GL6B",5.4,21,6,21.91,2019-06-24 11:53:00,2019-06-25 09:48:00,"2.75",22.3,5.3,5.6
2019,"LOA_IA19_GL1",29,"DE","DE05",44.1736666666667,-77.0541666666667,"GL6B",6,19.7,5,21.95,2019-06-24 12:51:00,2019-06-25 10:48:00,"3.0",21.2,5.9,6
2019,"LOA_IA19_GL1",30,"MB","M005",44.1415,-77.0623333333333,"GL6B",10.8,10.6,12,21.9,2019-06-24 13:11:00,2019-06-25 11:05:00,"3.0",21.8,10.6,11.4
2019,"LOA_IA19_GL1",31,"GI","GI08",44.0936666666667,-76.7901666666667,"GL6B",8.2,11.3,7.5,24.46,2019-07-02 10:18:00,2019-07-03 10:46:00,"8.0",18.1,7.9,8.5
2019,"LOA_IA19_GL1",32,"GI","GI08",44.0936666666667,-76.7901666666667,"GL6B",8.2,11.3,7.5,24.46,2019-07-02 10:18:00,2019-07-03 10:46:00,"8.0",18.1,7.9,8.5
2019,"LOA_IA19_GL1",33,"GI","GI13",44.088,-76.7868333333333,"GL6B",13,8.9,12.5,23.86,2019-07-02 10:35:00,2019-07-03 10:27:00,"8.5",18.2,12.5,13.5
2019,"LOA_IA19_GL1",34,"GI","GI13",44.088,-76.7868333333333,"GL6B",13,8.9,12.5,23.86,2019-07-02 10:35:00,2019-07-03 10:27:00,"8.5",18.2,12.5,13.5
2019,"LOA_IA19_GL1",35,"GI","GI18",44.0803333333333,-76.7958333333333,"GL6B",18.4,7.9,17.5,23.23,2019-07-02 10:52:00,2019-07-03 10:06:00,"8.5",17.9,17.8,19
2019,"LOA_IA19_GL1",36,"GI","GI18",44.0803333333333,-76.7958333333333,"GL6B",18.4,7.9,17.5,23.23,2019-07-02 10:52:00,2019-07-03 10:06:00,"8.5",17.9,17.8,19
2019,"LOA_IA19_GL1",37,"GI","GI23",44.0658333333333,-76.7865,"GL6B",22.5,7.4,22.5,22.48,2019-07-02 11:15:00,2019-07-03 09:44:00,"6.5",18.3,22.2,22.8
2019,"LOA_IA19_GL1",38,"GI","GI23",44.0658333333333,-76.7865,"GL6B",22.5,7.4,22.5,22.48,2019-07-02 11:15:00,2019-07-03 09:44:00,"6.5",18.3,22.2,22.8
2019,"LOA_IA19_GL1",39,"GI","GI28",44.0641666666667,-76.795,"GL6B",27.7,7.4,27.5,21.86,2019-07-02 11:30:00,2019-07-03 09:22:00,"6.5",18.2,27,28.3
2019,"LOA_IA19_GL1",40,"GI","GI28",44.0641666666667,-76.795,"GL6B",27.7,7.4,27.5,21.86,2019-07-02 11:30:00,2019-07-03 09:22:00,"6.5",18.2,27,28.3
2019,"LOA_IA19_GL1",41,"MS","MS28",44.1323333333333,-76.5713333333333,"GL6B",29.6,8.3,27.5,22.83,2019-07-02 11:20:00,2019-07-03 10:10:00,"7.5",18.6,29.2,29.7
2019,"LOA_IA19_GL1",42,"MS","MS23",44.1421666666667,-76.5708333333333,"GL6B",23.6,9,22.5,22.76,2019-07-02 11:39:00,2019-07-03 10:25:00,"7.25",18.6,23.2,23.7
2019,"LOA_IA19_GL1",43,"MS","MS18",44.1556666666667,-76.577,"GL6B",17.4,10,17.5,22.76,2019-07-02 11:58:00,2019-07-03 10:44:00,"6.0",18.8,16.9,17.8
2019,"LOA_IA19_GL1",44,"MS","MS13",44.168,-76.579,"GL6B",13.2,11.7,12.5,22.71,2019-07-02 12:15:00,2019-07-03 10:58:00,"5.8",18.9,12.9,13.6
2019,"LOA_IA19_GL1",45,"MS","MS08",44.1713333333333,-76.5833333333333,"GL6B",8.4,14.8,7.5,22.58,2019-07-02 12:35:00,2019-07-03 11:10:00,"6.25",18.9,7.9,8.6
2019,"LOA_IA19_GL1",46,"FP","FP08",43.9443333333333,-76.9998333333333,"GL6B",8.4,19.2,7.5,22.86,2019-07-08 11:04:00,2019-07-09 09:56:00,"8.0",20.1,8.1,9.2
2019,"LOA_IA19_GL1",47,"FP","FP08",43.9443333333333,-76.9998333333333,"GL6B",8.4,19.2,7.5,22.86,2019-07-08 11:04:00,2019-07-09 09:56:00,"8.0",20.1,8.1,9.2
2019,"LOA_IA19_GL1",48,"FP","FP13",43.9456666666667,-76.9876666666667,"GL6B",13.5,16.3,12.5,22.75,2019-07-08 11:37:00,2019-07-09 10:22:00,"7.5",20.2,13.3,13.9
2019,"LOA_IA19_GL1",49,"FP","FP13",43.9456666666667,-76.9876666666667,"GL6B",13.5,16.3,12.5,22.75,2019-07-08 11:37:00,2019-07-09 10:22:00,"7.5",20.2,13.3,13.9
2019,"LOA_IA19_GL1",50,"FP","FP18",43.9511666666667,-76.958,"GL6B",18.5,10.4,17.5,22.6,2019-07-08 12:01:00,2019-07-09 10:37:00,"8.5",20.7,17.8,18.8
2019,"LOA_IA19_GL1",51,"FP","FP18",43.9511666666667,-76.958,"GL6B",18.5,10.4,17.5,22.6,2019-07-08 12:01:00,2019-07-09 10:37:00,"8.5",20.7,17.8,18.8
2019,"LOA_IA19_GL1",52,"FP","FP23",43.957,-76.9258333333333,"GL6B",23.6,9.4,22.5,22.55,2019-07-08 12:29:00,2019-07-09 11:02:00,"6.5",21.1,23.4,24.1
2019,"LOA_IA19_GL1",53,"FP","FP23",43.957,-76.9258333333333,"GL6B",23.6,9.4,22.5,22.55,2019-07-08 12:29:00,2019-07-09 11:02:00,"6.5",21.1,23.4,24.1
2019,"LOA_IA19_GL1",54,"FP","FP28",43.9575,-76.8896666666667,"GL6B",30.4,8.3,27.5,22.53,2019-07-08 12:50:00,2019-07-09 11:22:00,"6.25",20.3,30.1,30.6
2019,"LOA_IA19_GL1",55,"FP","FP28",43.9575,-76.8896666666667,"GL6B",30.4,8.3,27.5,22.53,2019-07-08 12:50:00,2019-07-09 11:22:00,"6.25",20.3,30.1,30.6
2019,"LOA_IA19_GL1",56,"UB","U082",44.102,-77.3136666666667,"GL6B",3.1,24.8,3,23.4,2019-07-08 10:24:00,2019-07-09 09:48:00,"2.25",25.1,2.7,3.5
2019,"LOA_IA19_GL1",57,"UB","U120",44.1705,-77.2288333333333,"GL6B",5.8,24.4,6,23.46,2019-07-08 10:47:00,2019-07-09 10:15:00,"2.7",26.2,5.6,6
2019,"LOA_IA19_GL1",58,"UB","U140",44.1618333333333,-77.1578333333333,"GL6B",5,25,6,23.4,2019-07-08 11:13:00,2019-07-09 10:37:00,"2.5",25.7,4.7,5.3
2019,"LOA_IA19_GL1",59,"GI","GI28",44.0645,-76.7855,"GL6B",27.1,9,27.5,22.63,2019-07-15 10:44:00,2019-07-16 09:22:00,"6.5",20.7,26.8,28.1
2019,"LOA_IA19_GL1",60,"GI","GI28",44.0645,-76.7855,"GL6B",27.1,9,27.5,22.63,2019-07-15 10:44:00,2019-07-16 09:22:00,"6.5",20.7,26.8,28.1
2019,"LOA_IA19_GL1",61,"GI","GI23",44.0661666666667,-76.7861666666667,"GL6B",22.7,9.2,22.5,22.5,2019-07-15 11:14:00,2019-07-16 09:44:00,"5.75",20.7,21.9,23.2
2019,"LOA_IA19_GL1",62,"GI","GI23",44.0661666666667,-76.7861666666667,"GL6B",22.7,9.2,22.5,22.5,2019-07-15 11:14:00,2019-07-16 09:44:00,"5.75",20.7,21.9,23.2
2019,"LOA_IA19_GL1",63,"GI","GI18",44.0796666666667,-76.7958333333333,"GL6B",18.7,10.1,17.5,22.51,2019-07-15 11:36:00,2019-07-16 10:07:00,"6.5",19.9,17.6,19
2019,"LOA_IA19_GL1",64,"GI","GI18",44.0796666666667,-76.7958333333333,"GL6B",18.7,10.1,17.5,22.51,2019-07-15 11:36:00,2019-07-16 10:07:00,"6.5",19.9,17.6,19
2019,"LOA_IA19_GL1",65,"GI","GI13",44.0876666666667,-76.7871666666667,"GL6B",13.1,11.1,12.5,22.48,2019-07-15 11:58:00,2019-07-16 10:27:00,"6.5",19.8,12.8,13.3
2019,"LOA_IA19_GL1",66,"GI","GI13",44.0876666666667,-76.7871666666667,"GL6B",13.1,11.1,12.5,22.48,2019-07-15 11:58:00,2019-07-16 10:27:00,"6.5",19.8,12.8,13.3
2019,"LOA_IA19_GL1",67,"GI","GI08",44.0931666666667,-76.7908333333333,"GL6B",7.2,19.1,7.5,22.45,2019-07-15 12:21:00,2019-07-16 10:48:00,NA,20.1,7,8.1
